"id","make","model","year","class","trans","drive","cyl","displ","fuel","hwy","cty"
3347,"ASC Incorporated","GNX",1987,"Midsize Cars","Automatic 4-spd","Rear-Wheel Drive",6,"3.8","Premium",21,14
33146,"Acura","ILX",2013,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Premium",35,24
33147,"Acura","ILX",2013,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",31,22
33566,"Acura","ILX",2014,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Premium",35,24
33567,"Acura","ILX",2014,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",31,22
33148,"Acura","ILX Hybrid",2013,"Compact Cars","Auto(AV-S7)","Front-Wheel Drive",4,"1.5","Premium",38,39
33607,"Acura","ILX Hybrid",2014,"Compact Cars","Auto(AV-S7)","Front-Wheel Drive",4,"1.5","Premium",38,39
17191,"Acura","MDX",2001,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
18137,"Acura","MDX",2002,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
33590,"Acura","MDX 2WD",2014,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.5","Premium",28,20
19118,"Acura","MDX 4WD",2003,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
20243,"Acura","MDX 4WD",2004,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
21351,"Acura","MDX 4WD",2005,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
22462,"Acura","MDX 4WD",2006,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
23771,"Acura","MDX 4WD",2007,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.7","Premium",20,15
25012,"Acura","MDX 4WD",2008,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.7","Premium",20,15
26163,"Acura","MDX 4WD",2009,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.7","Premium",20,15
29797,"Acura","MDX 4WD",2010,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
30772,"Acura","MDX 4WD",2011,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
31947,"Acura","MDX 4WD",2012,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
33234,"Acura","MDX 4WD",2013,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
33592,"Acura","MDX 4WD",2014,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.5","Premium",27,18
7445,"Acura","NSX",1991,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
7446,"Acura","NSX",1991,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,16
8556,"Acura","NSX",1992,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
8557,"Acura","NSX",1992,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,17
9630,"Acura","NSX",1993,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
9631,"Acura","NSX",1993,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,17
10617,"Acura","NSX",1994,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
10618,"Acura","NSX",1994,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,17
11580,"Acura","NSX",1995,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
11581,"Acura","NSX",1995,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,16
12507,"Acura","NSX",1996,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
12508,"Acura","NSX",1996,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,16
13984,"Acura","NSX",1998,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
13985,"Acura","NSX",1998,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,16
14790,"Acura","NSX",1999,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
14791,"Acura","NSX",1999,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,16
15589,"Acura","NSX",2000,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,15
15590,"Acura","NSX",2000,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,15
